Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total Local,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total Foreign,Total All,persentase_lokal,persentase_asing
2021-09-30,ALDO,EQUITY,1100000000,785,0.0,871662069.0,0,0,226504731,1000000,100,0,0,1099166900.0,0,0,0,326600,500,0,0,0,506000,833100,1100000000.0,99.92426363636363,0.07573636363636363
2021-09-30,ALKA,EQUITY,507665055,240,0.0,11021250.0,0,77500,23904205,0,46200,0,0,35049155.0,0,0,0,260000,2808723,0,3700,0,0,3072423,38121578.0,91.94046217079472,8.059537829205286
2021-09-30,ALMI,EQUITY,616000000,238,0.0,96601840.0,0,0,49132300,0,303000,0,0,146037140.0,0,17000,0,32904800,366000,0,177800,0,0,33465600,179502740.0,81.35649628523777,18.643503714762236
2021-09-30,ALTO,EQUITY,2191870558,322,0.0,1436828322.0,0,0,395596418,12635100,337711318,0,0,2182771158.0,0,50000,0,7560000,36000,0,1201900,0,0,8847900,2191619058.0,99.59628476638298,0.4037152336170276
2021-09-30,AMAG,EQUITY,5001552516,332,166900.0,48000.0,185066933,388000000,68861896,0,23887500,0,0,666031229.0,0,36981200,0,4435300,7772900,2066800,69225800,0,25496200,145978200,812009429.0,82.02259791739438,17.977402082605618
2021-09-30,AMAN,EQUITY,3873500000,448,0.0,100.0,0,0,584999700,0,0,0,0,584999800.0,0,0,0,0,0,0,200,0,0,200,585000000.0,99.99996581196581,3.418803418803419e-05
2021-09-30,AMAR,EQUITY,8035100000,274,0.0,6245800.0,0,0,274222200,0,50,0,0,280468050.0,0,417000,0,6735776050,325100,0,937762800,0,0,7674280950,7954749000.0,3.5257938371154136,96.47420616288458
2021-09-30,AMFG,EQUITY,434000000,3850,23500.0,14225482.0,94500,0,26456100,1075400,67076,0,0,41942058.0,0,22143200,0,1016100,335700,7205200,11883659,0,241083,42824942,84767000.0,49.479228945226325,50.520771054773675
2021-09-30,AMIN,EQUITY,1080000000,188,0.0,20490600.0,0,0,101993800,0,29783800,0,0,152268200.0,0,17438300,0,0,68365000,0,192800,0,1735700,87731800,240000000.0,63.445083333333336,36.554916666666664
2021-09-30,AMOR,EQUITY,1111111200,3670,21107800.0,173251600.0,0,0,225194300,246600,0,0,0,419800300.0,0,0,99100,20752727,507400,2095300,366800,0,429573,24250900,444051200.0,94.53871535534641,5.461284644653589
2021-09-30,AMRT,EQUITY,41524501700,1380,789536600.0,24133142059.0,92105600,0,2692782010,878457773,84636,20613200,0,28606721878.0,24140700,2223913515,386041400,1895516438,5384300,2215533928,2594611828,158303800,3414333913,12917779822,41524501700.0,68.89118642452006,31.108813575479942
2021-09-30,ANDI,EQUITY,9350000000,50,19879605.0,766668480.0,1017800,0,2018878141,1622734517,266804208,2591900,105600,4698680251.0,0,9900,0,5000,1162949,0,111900,0,0,1289749,4699970000.0,99.97255835675547,0.027441643244531348
2021-09-30,ANJT,EQUITY,3354175000,735,160745300.0,95563153.0,0,0,87332510,100,0,0,0,343641063.0,0,5000000,2000,100,1600537,0,1794300,0,2137000,10533937,354175000.0,97.025781887485,2.9742181125149996
2021-09-30,ANTM,EQUITY,24030764725,2290,993538117.0,104278062.0,195702457,3700,2897122140,1091561850,100003116,27728875,2291300,5412229617.0,36827701,161808272,344081608,354365870,18251945,1101831056,211520437,7167800,720587224,2956441913,8368671530.0,64.67250623469027,35.327493765309725
2021-09-30,APEX,EQUITY,2659850000,540,0.0,1827228313.0,0,0,58757901,0,2500,0,0,1885988714.0,0,573737577,0,122327050,5200,0,77787,0,0,696147614,2582136328.0,73.03985825801836,26.96014174198164
2021-09-30,APIC,EQUITY,11766313488,855,1193186650.0,8705062480.0,0,0,194481859,645915257,398891991,6650000,0,11144188237.0,6051644,87061300,12844500,420978900,38150,49817300,5086700,0,40246757,622125251,11766313488.0,94.71265786319155,5.28734213680845
2021-09-30,APII,EQUITY,1075760000,183,0.0,1000.0,0,0,54616200,0,0,0,0,54617200.0,0,0,0,798600,36634800,0,39427400,0,143096000,219956800,274574000.0,19.891613918287966,80.10838608171204
2021-09-30,APLI,EQUITY,1362671400,208,0.0,201399300.0,0,0,559466100,0,165000,0,0,761030400.0,0,0,0,0,185800,0,1354200,0,0,1540000,762570400.0,99.79805143236611,0.20194856763388666
2021-09-30,APLN,EQUITY,22699326779,131,5283600.0,9332107998.0,3183600,24000,3191592857,13575200,107190605,747500,390000,12654095360.0,0,13727982,0,291253820,12993400,4073800,21482383,0,7920034,351451419,13005546779.0,97.29768055913276,2.702319440867239
2021-09-30,APOL,EQUITY,16452282461,50,0.0,727162400.0,1400000,0,779537459,0,1668200,14086735,0,1523854794.0,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866,6869778660.0,22.182007156544984,77.81799284345502
2021-09-30,ARCI,EQUITY,24835000000,565,57880600.0,7438980823.0,308200,0,582963177,59739700,19000000,1333000,0,8160205500.0,0,3379900,0,150841700,4580900,2507410,1739000000,0,618984590,2519294500,10679500000.0,76.40999578631958,23.590004213680416
2021-09-30,ARGO,EQUITY,335557450,1700,45000.0,37038514.0,0,0,554250,0,83500,0,0,37721264.0,0,280,0,5378000,11250,0,4000,0,5720,5399250,43120514.0,87.47869749419036,12.521302505809647
2021-09-30,ARII,EQUITY,3131000000,348,117981800.0,1097043700.0,64900,0,637471100,140669800,0,0,0,1993231300.0,0,312864100,0,273506400,2095800,0,1500000,0,60441400,650407700,2643639000.0,75.39725734111201,24.602742658887994
